ID,NOMBRE,CEDULA,GRADO,PROMEDIO
1,DEIVID NICOLAS CORTES,21351221231,2,95
2,CARLOS EDUARDO ANGARITA,575245254,2,45
3,DIEGO ANDRES REYES SASTOQUE,775721757,2,62
4,EDWIN  ALEJANDRO SANCHEZ,75757257,2,34
5,ILBER DARIO  SAZA,75452754,3,15
6,FREDDY ALBERTO MOYANO,343124212,3,26
7,ELIZABETH SAENZ,213213543,3,84
8,JOSE ALEJANDRO ALVAREZ,772724214,4,75
9,JUAN GABRIEL VELANDIA,752742754,4,95
10,SUJEY LORENA VILLEGAS PANTOJA,73427817,5,35
11,HERLY JOHANA VILLAMIZAR CARREÑO,142717541,5,62
12,CRISTINA ISABEL REALES,41213141,5,14
13,MARLY THAIANA CUBILLOS,213254135,1,100
14,LIDIA SMITH AMADO DUGARTE,2132132132,1,2
15,YERSON DARIO TORRES ALVAREZ,123135021,1,53
16,CARLOS JOSE ARIAS,1003523221,2,95
17,JOSE LUIS SOTO,1035413551,2,75
18,KEVIN YESID MENDEZ,10032120,3,62
19,CLAUDIA VIVIANA OROZCO,10203121,5,42
20,WILMAR  MARQUEZ TOCANCHON,1032165412,1,84
