ID,NOMBRE,CEDULA,GRADO,PROMEDIO
1,DEIVID NICOLAS CORTES,21351221231,1,10
2,CARLOS EDUARDO ANGARITA,575245254,1,20
3,DIEGO ANDRES REYES SASTOQUE,775721757,1,30
4,EDWIN  ALEJANDRO SANCHEZ,75757257,2,40
5,ILBER DARIO  SAZA,75452754,2,50
6,FREDDY ALBERTO MOYANO,343124212,2,60
7,ELIZABETH SAENZ,213213543,3,70
8,JOSE ALEJANDRO ALVAREZ,772724214,3,80
9,JUAN GABRIEL VELANDIA,752742754,3,90
10,SUJEY LORENA VILLEGAS PANTOJA,73427817,4,100
11,HERLY JOHANA VILLAMIZAR CARREÑO,142717541,4,10
12,CRISTINA ISABEL REALES,41213141,4,20
13,MARLY THAIANA CUBILLOS,213254135,5,30
14,LIDIA SMITH AMADO DUGARTE,2132132132,5,40
15,YERSON DARIO TORRES ALVAREZ,123135021,5,50
16,CARLOS JOSE ARIAS,1003523221,1,60
17,JOSE LUIS SOTO,1035413551,1,70
18,KEVIN YESID MENDEZ,10032120,1,80
19,CLAUDIA VIVIANA OROZCO,10203121,2,90
20,WILMAR  MARQUEZ TOCANCHON,1032165412,2,100
