ID,NOMBRE,CEDULA,GRADO,PROMEDIO
1,DEIVID NICOLAS CORTES,21351221231,5,62
2,CARLOS EDUARDO ANGARITA,575245254,3,80
3,DIEGO ANDRES REYES SASTOQUE,775721757,2,57
4,EDWIN  ALEJANDRO SANCHEZ,75757257,4,75
5,ILBER DARIO  SAZA,75452754,1,37
6,FREDDY ALBERTO MOYANO,343124212,3,57
7,ELIZABETH SAENZ,213213543,2,100
8,JOSE ALEJANDRO ALVAREZ,772724214,5,62
9,JUAN GABRIEL VELANDIA,752742754,2,74
10,SUJEY LORENA VILLEGAS PANTOJA,73427817,3,91
11,HERLY JOHANA VILLAMIZAR CARREÑO,142717541,1,100
12,CRISTINA ISABEL REALES,41213141,3,42
13,MARLY THAIANA CUBILLOS,213254135,5,62
14,LIDIA SMITH AMADO DUGARTE,2132132132,5,49
15,YERSON DARIO TORRES ALVAREZ,123135021,3,39
16,CARLOS JOSE ARIAS,1003523221,1,100
17,JOSE LUIS SOTO,1035413551,2,67
18,KEVIN YESID MENDEZ,10032120,5,65
19,CLAUDIA VIVIANA OROZCO,10203121,1,35
20,WILMAR  MARQUEZ TOCANCHON,1032165412,4,67
